id2,geography,year,state,percent_renter,percent_asian,percent_black,percent_hispanic,percent_multifamily_housing,eviction_rate,poverty_rate,median_income,avg_cost_electricity,avg_cost_gas,avg_cost_water,asthma_rate
8031004102,"Census Tract 41.02, Denver County, Colorado",2013,CO,0.442,0.025,0.524,0.236,0.175081967,1.95,21.8,37717,-9999,-9999,-9999,n/a
8031004103,"Census Tract 41.03, Denver County, Colorado",2013,CO,0.159,0.005,0.35,0.053,0.010223048,0.65,4.17,85577,903.58,602.18,584.64,n/a
8031004104,"Census Tract 41.04, Denver County, Colorado",2013,CO,0.22,0.011,0.4,0.137,0.029069767,1.49,13.91,54261,950.07,643.03,629.79,n/a
8031004106,"Census Tract 41.06, Denver County, Colorado",2013,CO,0.155,0.038,0.093,0.127,0.081276736,0.53,1.65,134330,1517.88,2008.41,307.06,n/a
8031004107,"Census Tract 41.07, Denver County, Colorado",2013,CO,0.413,0.051,0.116,0.074,0.490143847,1.12,3.68,83750,903.58,602.18,584.64,n/a
8031004201,"Census Tract 42.01, Denver County, Colorado",2013,CO,0.236,0.029,0.061,0.107,0.177546983,0.85,3.74,91337,1560.54,1152.54,375.73,n/a
8031004202,"Census Tract 42.02, Denver County, Colorado",2013,CO,0.081,0.025,0.095,0.059,0.041843542,3.27,0.9,117837,-9999,-9999,-9999,n/a
8031004301,"Census Tract 43.01, Denver County, Colorado",2013,CO,0.632,0.067,0.071,0.113,0.640368179,2.86,9.09,44558,1543.11,2327.11,236.96,n/a
8031004302,"Census Tract 43.02, Denver County, Colorado",2013,CO,0.407,0.044,0.053,0.072,0.14354067,0.27,2.1,74145,764.69,608.28,854.24,n/a
8031004303,"Census Tract 43.03, Denver County, Colorado",2013,CO,0.097,0.029,0.011,0.008,0.008259587,1.23,4.28,157639,1970.54,1399.1,406.2,n/a
8031004304,"Census Tract 43.04, Denver County, Colorado",2013,CO,0.346,0.005,0.06,0.138,0.181309065,1.19,5.87,75801,1288,1236.17,592.75,n/a
8031004306,"Census Tract 43.06, Denver County, Colorado",2013,CO,0.376,0.002,0.05,0.037,0.271441202,2.85,0.95,71061,1185.82,1491.27,450.48,n/a
8031004403,"Census Tract 44.03, Denver County, Colorado",2013,CO,0.523,0.017,0.192,0.296,0.340072576,3.69,24.85,46829,888,132,473,n/a
8031004404,"Census Tract 44.04, Denver County, Colorado",2013,CO,0.693,0.125,0.34,0.197,0.582123759,5.53,37.39,37930,-9999,-9999,-9999,n/a
8031004405,"Census Tract 44.05, Denver County, Colorado",2013,CO,0.538,0.031,0.116,0.094,0.530295686,2.78,6.22,70833,1185.82,1491.27,450.48,n/a
8031004503,"Census Tract 45.03, Denver County, Colorado",2013,CO,0.574,0.062,0,0.827,0.250380518,2.71,35.71,32672,-9999,-9999,-9999,n/a
8031004504,"Census Tract 45.04, Denver County, Colorado",2013,CO,0.51,0.043,0.004,0.786,0.273049645,3.13,18.79,33800,2068.8,633.6,488.6,n/a
8031004505,"Census Tract 45.05, Denver County, Colorado",2013,CO,0.604,0.02,0.001,0.814,0.22682743,3.46,33.75,32764,-9999,-9999,-9999,n/a
8031004506,"Census Tract 45.06, Denver County, Colorado",2013,CO,0.701,0.123,0.066,0.735,0.287512101,3.03,36.44,26322,-9999,-9999,-9999,n/a
8031004601,"Census Tract 46.01, Denver County, Colorado",2013,CO,0.238,0.06,0,0.636,0.017671518,2.17,12.22,47140,2400,636,105,n/a
8031004602,"Census Tract 46.02, Denver County, Colorado",2013,CO,0.549,0.045,0.01,0.761,0.381702128,6.01,14.29,39961,1260,888,1263,n/a
8031004603,"Census Tract 46.03, Denver County, Colorado",2013,CO,0.361,0.034,0.013,0.574,0.098577734,2.55,24.33,44342,1392,504,758,n/a
8031004700,"Census Tract 47, Denver County, Colorado",2013,CO,0.442,0.065,0,0.558,0.268122271,6.82,17.64,53250,628.62,691.12,373.69,n/a
